Paper,year ,method,Q2,ratio,stat,sys,GEn,stat,sys
Eden,1994,recoil polarization on unpolrized deuterium,0.255,,,,0.066,0.036,0.009
Meyerhoff,1994,polHe3,0.310,,,,0.035,0.012,0.005
Passchier,1999,polH2,0.210,,,,0.066,0.015,0.004
Herberg,1999,recoil polarization on unpolrized deuterium,0.150,,,,0.048,0.007,0.005
Ostrick,1999,recoil polarization on unpolrized deuterium,0.340,,,,0.061,0.007,0.006
Becker,1999,,,,,,,,
Rohe,1999,polHe3,0.670,,,,0.052,0.011,0.005
Zhu,2001,,,,,,,,
Madey,2003,recoil polarization on unpolrized deuterium,0.450,1.003,0.006,,0.055,0.006,0.002
Madey,2003,recoil polarization on unpolrized deuterium,1.130,1.057,0.017,,0.039,0.003,0.001
Madey,2003,recoil polarization on unpolrized deuterium,1.450,1.044,0.024,,0.041,0.004,0.001
Bermuth,2003,polHe3,0.670,,,,0.042,0.010,0.002
Warren,2004,pol15ND3,0.500,,,,0.053,0.003,0.003
Warren,2004,pol15ND3,1.000,,,,0.045,0.005,0.004
Glazier,2005,recoil polarization on unpolrized deuterium,0.300,,,,0.055,0.006,0.002
Glazier,2005,recoil polarization on unpolrized deuterium,0.590,,,,0.048,0.007,0.002
Glazier,2005,recoil polarization on unpolrized deuterium,0.790,,,,0.047,0.009,0.003
Plaster,2006,recoil polarization on unpolrized deuterium,0.450,1.003,0.005,,0.055,0.006,0.002
Plaster,2006,recoil polarization on unpolrized deuterium,1.130,1.067,0.012,,0.040,0.003,0.001
Plaster,2006,recoil polarization on unpolrized deuterium,1.450,1.064,0.016,,0.042,0.004,0.001
Geis,2008,polH2,0.140,0.051,0.007,0.003,,,
Geis,2008,polH2,0.200,0.070,0.008,0.004,,,
Geis,2008,polH2,0.290,0.102,0.013,0.005,,,
Geis,2008,polH2,0.420,0.117,0.018,0.005,,,
Riordan,2010,polHe3,1.720,,,,0.024,0.002,0.003
Riordan,2010,polHe3,2.480,,,,0.021,0.002,0.002
Riordan,2010,polHe3,3.410,,,,0.015,0.002,0.001
Schlimme,2013,polHe3,1.580,0.250,0.058,0.017,0.024,0.006,0.002
Sulkosky,2017,polHe3,0.980,,,,0.041,0.008,0.002
